[STATUS] BLE:OFF | ATTESA_MONETA | € 4 | P1@1EUR | LDR:61%(B:24 Δ: 37) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 4 | P1@1EUR | LDR:92%(B:24 Δ: 68) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 4 | P1@1EUR | LDR:60%(B:24 Δ: 36) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 4 | P1@1EUR | LDR:84%(B:24 Δ: 60) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 4 | P1@1EUR | LDR:88%(B:24 Δ: 64) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 4 | P1@1EUR | LDR:61%(B:24 Δ: 37) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 4 | P1@1EUR | LDR:60%(B:24 Δ: 36) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 4 | P1@1EUR | LDR:61%(B:24 Δ: 37) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 4 | P1@1EUR | LDR:59%(B:24 Δ: 35) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[LDR] Reset moneta (val=5%, base=24%, Δ=-19%)
[STATUS] BLE:OFF | ATTESA_MONETA | € 4 | P1@1EUR | LDR: 4%(B: 4 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[LDR] Moneta rilevata! Credito=5 EUR (val=43%, base=13%, Δ=+30%)
[LDR] Reset moneta (val=4%, base=13%, Δ=-9%)
[STATUS] BLE:OFF | ATTESA_MONETA | € 5 | P1@1EUR | LDR: 4%(B: 4 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[LDR] Moneta rilevata! Credito=6 EUR (val=50%, base=14%, Δ=+36%)
[LDR] Reset moneta (val=4%, base=14%, Δ=-10%)
[STATUS] BLE:OFF | ATTESA_MONETA | € 6 | P1@1EUR | LDR: 4%(B:11 Δ: -7) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[LDR] Moneta rilevata! Credito=7 EUR (val=44%, base=14%, Δ=+30%)
[LDR] Reset moneta (val=6%, base=14%, Δ=-8%)
[STATUS] BLE:OFF | ATTESA_MONETA | € 7 | P1@1EUR | LDR:21%(B:13 Δ:  8) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[LDR] Moneta rilevata! Credito=8 EUR (val=57%, base=23%, Δ=+34%)
[STATUS] BLE:OFF | ATTESA_MONETA | € 8 | P1@1EUR | LDR:61%(B:23 Δ: 38) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 8 | P1@1EUR | LDR:60%(B:23 Δ: 37) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[LDR] Reset moneta (val=16%, base=23%, Δ=-7%)
[STATUS] BLE:OFF | ATTESA_MONETA | € 8 | P1@1EUR | LDR:16%(B:16 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[LDR] Moneta rilevata! Credito=9 EUR (val=60%, base=26%, Δ=+34%)
[STATUS] BLE:OFF | ATTESA_MONETA | € 9 | P1@1EUR | LDR:44%(B:26 Δ: 18) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[LDR] Reset moneta (val=16%, base=26%, Δ=-10%)
